,國文,英文,數學,社會,自然
0,8,10,13,7,12
1,8,10,7,10,9
2,13,6,14,11,15
3,13,11,12,9,9
4,10,8,10,10,11
5,8,12,7,15,9
6,6,8,15,14,8
7,7,9,8,9,13
8,10,13,13,14,15
9,10,8,12,14,7
10,14,13,12,14,8
11,6,12,15,14,11
12,10,13,11,8,12
13,15,6,6,10,12
14,14,13,12,7,14
15,15,11,12,6,15
16,13,15,9,8,11
17,13,6,8,8,10
18,11,15,8,15,6
19,15,7,6,7,13
20,10,9,11,10,15
21,15,9,8,9,15
22,15,14,7,7,12
23,13,9,14,13,6
24,8,13,13,11,10
25,13,8,7,10,11
26,10,6,11,6,10
27,7,9,15,6,9
28,9,10,14,9,6
29,15,10,11,9,15
30,14,8,12,6,15
31,13,10,14,15,9
32,12,15,8,12,13
33,8,12,8,6,14
34,6,15,13,10,11
35,7,10,12,9,10
36,14,12,6,15,13
37,8,14,11,9,9
38,7,14,15,13,9
39,9,14,14,10,10
40,8,7,13,14,10
41,10,6,11,7,13
42,11,8,7,14,6
43,9,8,11,8,11
44,10,15,7,12,10
45,14,12,15,11,8
46,6,11,15,6,11
47,15,9,7,7,14
48,7,10,12,11,6
49,15,9,12,14,6
50,11,14,6,13,15
51,6,15,13,11,9
52,10,12,8,12,6
53,15,13,6,14,12
54,7,10,7,8,8
55,13,10,8,10,6
56,11,11,7,9,11
57,13,12,11,6,9
58,12,11,6,12,8
59,8,7,14,15,8
60,13,12,13,8,15
61,13,7,12,11,9
62,12,12,10,12,6
63,15,13,13,12,7
64,13,6,9,9,11
65,8,13,8,7,8
66,8,6,12,7,6
67,14,11,15,9,13
68,13,15,10,15,9
69,10,8,13,7,14
70,6,7,8,7,6
71,8,9,8,14,7
72,9,14,8,12,7
73,6,12,14,15,13
74,8,13,8,12,12
75,12,14,10,8,8
76,11,8,13,14,13
77,7,12,9,7,13
78,14,13,15,7,7
79,15,13,9,6,12
80,14,10,7,15,15
81,15,12,10,13,14
82,11,12,13,10,12
83,14,9,12,12,12
84,7,13,13,6,7
85,7,13,14,10,14
86,10,14,10,7,7
87,14,10,9,13,12
88,7,8,7,7,13
89,7,13,12,10,12
90,6,8,14,14,13
91,9,11,6,8,8
92,13,12,15,12,11
93,8,14,8,8,9
94,10,11,6,7,9
95,13,8,10,9,8
96,8,11,10,14,14
97,9,12,15,7,6
98,13,13,14,13,8
99,12,8,10,15,7
